Date,Open,High,Low,Close,Adj Close,Volume
2/6/2019,174.649994,175.570007,172.850006,174.240005,171.660797,28239600
2/7/2019,172.399994,173.940002,170.339996,170.940002,168.409653,31741700
2/8/2019,168.990005,170.660004,168.419998,170.410004,168.607529,23820000
3/1/2019,174.279999,175.149994,172.889999,174.970001,173.119278,25886200
3/4/2019,175.690002,177.75,173.970001,175.850006,173.98999,27436200
3/5/2019,175.940002,176,174.539993,175.529999,173.67337,19737400
3/6/2019,174.669998,175.490005,173.940002,174.520004,172.674057,20810400
3/7/2019,173.869995,174.440002,172.020004,172.5,170.675415,24796400
3/8/2019,170.320007,173.070007,169.5,172.910004,171.081085,23999400
4/1/2019,191.639999,191.679993,188.380005,191.240005,189.217209,27862000
4/2/2019,191.089996,194.460007,191.050003,194.020004,191.967804,22765700
4/3/2019,193.25,196.5,193.149994,195.350006,193.283737,23271800
4/4/2019,194.789993,196.369995,193.139999,195.690002,193.620117,19114300
4/5/2019,196.449997,197.100006,195.929993,197,194.91626,18526600
4/8/2019,196.419998,200.229996,196.339996,200.100006,197.983475,25881700
4/9/2019,200.320007,202.850006,199.229996,199.5,197.389832,35768200
